CÓDIGO ;CALLE ;NÚMERO ;LOCALIDAD ;PROVINCIA ;HORARIOS 
VWJ;DEL BARCO CENTENERA;2056;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 09.00 A 18.00
VWR;DIRECTORIO;216;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 07.00 A 19.30 / SAB 09.00 A 19.30
VWV;BELGRANO MANUEL;299;PLOTTIER;NEUQUEN;LUN A VIE 17.30 A 20.30 / LUN A SAB 10.00 A 13.00
VWW;9 DE JULIO;0;PASO DE INDIOS;CHUBUT;LUN A SAB 09.00 A 13.00 / LUN A SAB 17.00 A 21.00
VWY;BELGRANO MANUEL;55;SANTA CATALINA;CORDOBA;LUN A VIE 08.00 A 13.00 / LUN A VIE 16.00 A 20.00 / SAB 09.00 A 13.00 / SAB 16.30 A 20.30
VXB;CACHIMAYO;1284;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 09.00 A 20.00 / SAB 09.00 A 13.00 / SAB 16.00 A 20.00
VXD;URRUTIA RAUL;0;LAS OVEJAS;NEUQUEN;LUN A VIE 16.00 A 21.00 / LUN A VIE 09.30 A 13.00 / SAB 10.00 A 21.00
VXH;ECHEVERRIA;1442;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 10.00 A 15.00 / LUN A VIE 16.00 A 19.00
VXK;RUCCI JOSE IGNACIO;2192;VIRREYES;BUENOS AIRES;LUN A VIE 09.00 A 12.30 / LUN A VIE 16.00 A 20.00 / SAB 09.00 A 12.30 / SAB 17.00 A 20.00
VXL;CONSTITUCION;187;SAN FERNANDO;BUENOS AIRES;LUN A SAB 09.00 A 20.00
VXM;ITUZAINGO;1172;SAN FERNANDO;BUENOS AIRES;LUN A SAB 16.00 A 20.00 / LUN A SAB 07.00 A 14.00
VXO;TUCUMAN;115;GENERAL PACHECO;BUENOS AIRES;LUN A VIE 08.00 A 18.00 / SAB 08.00 A 13.00
VXP;SANTA FE;30;ACASSUSO;BUENOS AIRES;LUN A VIE 13.00 A 18.00
VXQ;ESCRIBANO MAYOR DE GOBIERNO;3530;MARIANO ACOSTA;BUENOS AIRES;LUN A SAB 09.00 A 13.00 / LUN A SAB 16.00 A 20.00
VXR;SAN JUAN;4172;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 09.30 A 17.30
VXT;SAN MARTIN GENERAL JOSE DE;442;PRESIDENCIA ROCA;CHACO;LUN A DOM 00.00 A 23.59
VXV;CORDINI JUEZ MIGUEL ANGEL;994;PARANA;ENTRE RIOS;LUN A VIE 08.00 A 12.00 / LUN A VIE 17.00 A 20.00
VXY;ZUVIRIA DOCTOR FACUNDO DE;6832;SANTA FE;SANTA FE;LUN A VIE 07.00 A 20.00 / SAB 09.00 A 12.30
VYB;MENDOZA;48;GENERAL PACHECO;BUENOS AIRES;LUN A VIE 08.00 A 17.00
VYD;TERRE ROGELIO;924;BERABEVU;SANTA FE;LUN A SAB 08.30 A 12.00 / LUN A SAB 14.30 A 20.30
VYE;SAN MARTIN;450;MIRAFLORES;CHACO;LUN A VIE 08.30 A 12.30 / LUN A VIE 17.00 A 21.00
VYF;ITALIA;284;HUMBERTO PRIMO;SANTA FE;LUN A VIE 09.00 A 12.00 / LUN A VIE 16.00 A 20.00 / SAB 09.30 A 12.00
VYG;SAN MARTIN;0;VILLA GENERAL GUEMES;FORMOSA;LUN A VIE 08.00 A 13.00 / LUN A VIE 16.00 A 20.00 / SAB 08.00 A 13.00
VYH;ROCA PRESIDENTE GENERAL JULIO ARGENTINO;0;VILLA GRAL MANUEL BELGRANO;FORMOSA;LUN A VIE 08.00 A 13.00 / LUN A VIE 16.00 A 20.00 / SAB 08.00 A 13.00
VYI;VILLA SAN BENITO;1204;PARANA;ENTRE RIOS;LUN A VIE 08.30 A 12.30 / LUN A VIE 16.00 A 20.00 / SAB 09.00 A 13.00
VYK;VALETTE LUCIANO;1744;LUIS GUILLON;BUENOS AIRES;LUN A VIE 08.30 A 18.00
VYN;DE LOS INCAS;4633;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 09.00 A 18.00 / SAB 10.00 A 14.00
VYP;MENDOZA PROVINCIA DE;16;SAN MIGUEL DE TUCUMAN;TUCUMAN;LUN A VIE 10.00 A 23.00 / SAB 10.00 A 14.00
VYQ;CABRERA;831;RIO CUARTO;CORDOBA;LUN A VIE 09.00 A 12.30 / LUN A VIE 17.00 A 20.30
VYS;JARDIN DEL SUR;0;VILLA MERCEDES;SAN LUIS;LUN A VIE 08.30 A 13.00 / LUN A VIE 17.30 A 20.00 / SAB 09.00 A 13.00
VYT;SAN MARTIN;292;REAL DEL PADRE;MENDOZA;LUN A VIE 08.30 A 12.30 / SAB 09.00 A 12.00
VYV;YRIGOYEN HIPOLITO;1899;SANTA LUCIA;SAN JUAN;LUN A VIE 09.00 A 12.30 / LUN A VIE 16.30 A 19.30
VYW;VELEZ SARSFIELD DALMACIO;1446;ROSARIO;SANTA FE;LUN A VIE 09.30 A 13.30 / LUN A VIE 16.30 A 18.30
VYX;10;0;LA PICADA;ENTRE RIOS;LUN A VIE 08.00 A 14.00
VYY;LOPEZ LUCILO;649;CONCEPCION DEL URUGUAY;ENTRE RIOS;LUN A VIE 09.30 A 12.30 / LUN A VIE 17.00 A 20.00
VZC;ROSSI FRAY ANTONIO;1027;SANTA ROSA DE CALCHINES;SANTA FE;LUN A VIE 16.00 A 19.30 / LUN A VIE 07.00 A 12.00 / SAB 08.00 A 12.00
VZD;CABRERA ANASTASIO;1162;CANDELARIA;MISIONES;LUN A VIE 08.00 A 12.00 / LUN A VIE 16.00 A 19.00 / SAB 08.00 A 13.00
VZE;MORENO;875;PASO DE LA PATRIA;CORRIENTES;LUN A VIE 09.00 A 12.30 / LUN A VIE 17.00 A 20.00 / SAB 09.00 A 12.00
VZF;1 DE MAYO;150;ALDEA VALLE MARIA;ENTRE RIOS;LUN A VIE 07.30 A 12.30
VZG;PUBLICA;0;VILLA SAN MARCIAL;ENTRE RIOS;LUN A VIE 09.00 A 12.00 / LUN A VIE 14.00 A 21.00
VZH;MERELLO FELIPE GERONIMO;257;HERMOSO CAMPO;CHACO;LUN A VIE 09.00 A 13.00 / LUN A VIE 17.00 A 21.00 / SAB 09.00 A 13.00
VZI;SAN MARTIN;0;BONPLAND;CORRIENTES;LUN A SAB 08.30 A 12.00 / LUN A SAB 16.30 A 21.00
VZK;INDEPENDENCIA;3189;SANTIAGO DEL ESTERO;SANTIAGO DEL ESTERO;LUN A VIE 08.00 A 13.00 / LUN A VIE 17.00 A 21.00 / SAB 09.00 A 13.00 / SAB 17.00 A 21.00
VZP;OLAVARRIA;2304;VILLA CELINA;BUENOS AIRES;LUN A SAB 09.00 A 20.00
VZQ;OLAVARRIA;3007;VILLA CELINA;BUENOS AIRES;LUN A SAB 09.00 A 20.00
VZS;MARCONI INGENIERO GUILLERMO;3482;ISIDRO CASANOVA;BUENOS AIRES;LUN A VIE 10.00 A 13.00 / LUN A VIE 17.00 A 20.00
VZT;VIDELA NICOLAS E;111;QUILMES;BUENOS AIRES;LUN A VIE 09.00 A 18.00
WAA;EL ESPINILLO;3810;ALVEAR;SANTA FE;LUN A VIE 07.00 A 13.00
WAB;ROCA JULIO ARGENTINO;0;MISION NUEVA POMPEYA;CHACO;LUN A VIE 08.00 A 13.00 / LUN A VIE 16.00 A 20.00 / SAB 09.00 A 12.00
VVZ;LOS MENHIRES;0;EL MOLLAR;TUCUMAN;LUN A VIE 18.00 A 20.00 / LUN A VIE 09.30 A 13.00 / SAB 09.30 A 13.00
WAC;9 DE JULIO;0;VILLA ATUEL;MENDOZA;LUN A VIE 08.30 A 12.30 / SAB 09.00 A 12.30
WAF;MAIPU;375;SAN FDO DEL VALLE DE CATAMARCA;CATAMARCA;LUN A VIE 09.00 A 13.00 / LUN A VIE 17.00 A 21.00
WAG;9 DE JULIO;0;ALIJILAN;CATAMARCA;LUN A VIE 08.00 A 13.00
WAI;64;0;LOS ALTOS;CATAMARCA;LUN A VIE 08.00 A 13.00
WAJ;RUTA 48;0;EL LINDERO;CATAMARCA;LUN A VIE 08.00 A 13.00
WAN;MAURIN M;970;VILLA ABERASTAIN;SAN JUAN;LUN A VIE 08.30 A 13.00 / LUN A VIE 16.00 A 20.00 / SAB 09.00 A 13.00
WAR;5;0;MIRAFLORES;CATAMARCA;LUN A VIE 08.00 A 13.00
WAT;CALLE PUBLICA S/N;0;HUILLAPIMA;CATAMARCA;LUN A VIE 08.00 A 13.00
WAV;CASTILLO;330;POMAN;CATAMARCA;LUN A VIE 08.00 A 13.00
WAW;LINCOLN ABRAHAM;277;VILLA NUEVA;MENDOZA;LUN A VIE 08.00 A 15.00
WAX;SANTA MARINA;0;ARIZONA;SAN LUIS;LUN A VIE 16.00 A 19.00 / LUN A SAB 09.00 A 13.00
WAZ;1 DE MAYO;0;ARIZONA;SAN LUIS;LUN A VIE 08.00 A 13.00
WBB;CABRERA JERONIMO LUIS DE;0;POMAN;CATAMARCA;LUN A VIE 08.00 A 12.30 / LUN A VIE 18.00 A 22.00 / SAB 09.00 A 12.30
WBD;JAURETCHE DOCTOR ARTURO;1440;HURLINGHAM;BUENOS AIRES;LUN A VIE 09.00 A 13.00 / LUN A VIE 14.00 A 19.00 / SAB 09.00 A 13.00
WBH;12 DE OCTUBRE;582;DOCK SUD;BUENOS AIRES;LUN A VIE 10.00 A 13.00 / LUN A VIE 15.00 A 19.00
WBJ;UGARTE GOBERNADOR MARCELINO;2404;OLIVOS;BUENOS AIRES;LUN A SAB 08.00 A 16.00
WBK;CARDOSO;9;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 10.00 A 18.00
WBM;ISLA AGUILA;120;MONTE GRANDE;BUENOS AIRES;LUN A SAB 09.00 A 13.00 / LUN A SAB 15.00 A 19.00 / DOM 09.00 A 10.00
WBW;DORREGO CORONEL MANUEL;710;TEMPERLEY;BUENOS AIRES;LUN A VIE 10.00 A 14.00 / LUN A VIE 16.00 A 20.00 / SAB 10.00 A 20.00
WCJ;LAVALLEJA GENERAL JUAN ANTONIO;577;ITUZAINGO;BUENOS AIRES;LUN A SAB 10.00 A 20.00
WCP;SAENZ PEÑA PRESIDENTE ROQUE;1162;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 09.00 A 19.00
WCS;MITRE BARTOLOME;543;SACANTA;CORDOBA;LUN A SAB 08.00 A 15.00 / LUN A SAB 18.00 A 21.00
WCU;CACHEUTA;3621;CORDOBA;CORDOBA;LUN A VIE 11.00 A 13.00 / LUN A VIE 18:00 A 20:30
WCV;BELGRANO MANUEL;0;BUCHARDO;CORDOBA;LUN A VIE 07.00 A 14.00
WCW;BERNARDI A CONSCRIPTO;0;SAN GUSTAVO;ENTRE RIOS;LUN A VIE 15.30 A 20.00 / LUN A VIE 07.00 A 12.00
WCX;GALLO JOSE LUIS;0;ARROYO BARU;ENTRE RIOS;LUN A DOM 07.00 A 20.00
WCY;HIRSCH BARON;157;VILLA CLARA;ENTRE RIOS;LUN A VIE 08.00 A 12.00 / LUN A VIE 16.30 A 20.30
WDD;RUTA 131 KM 27.45;0;COLONIA SAN EMILIO;ENTRE RIOS;LUN A VIE 08.00 A 24.00
WDF;HERNANDEZ JOSE;1394;SARMIENTO;SANTA FE;LUN A VIE 07.00 A 20.30 / SAB 09.00 A 12.30
WDI;BAIGORRIA JUAN BAUTISTA;1368;ROSARIO;SANTA FE;LUN A VIE 09.00 A 13.00 / LUN A VIE 16.30 A 20.00 / SAB 09.00 A 13.00
WDK;PALMIRA SUPERIORA;474;PRESIDENCIA ROQUE SAENZ PEÑA;CHACO;LUN A SAB 08.30 A 13.00 / LUN A SAB 16.30 A 20.00
WDL;SAN MARTIN GENERAL JOSE DE;254;PRESIDENCIA ROQUE SAENZ PEÑA;CHACO;LUN A SAB 08.30 A 13.00 / LUN A SAB 16.30 A 20.00
WDM;NERVO AMADO;227;PRESIDENCIA ROQUE SAENZ PEÑA;CHACO;LUN A SAB 08.30 A 13.00 / LUN A SAB 16.30 A 20.00
WDN;ANDRADE;625;FIGHIERA;SANTA FE;LUN A VIE 07.00 A 13.00
WDR;ENEAS;135;PINAMAR;BUENOS AIRES;LUN A VIE 09.30 A 20.00 / SAB 09.30 A 20.00
WDS;MITRE;889;GENERAL MADARIAGA;BUENOS AIRES;LUN A SAB 09.30 A 20.00
WDT;GESELL SILVIO;420;VILLA GESELL;BUENOS AIRES;LUN A SAB 09.30 A 18.30
WDZ;90;1648;MAR DEL TUYU;BUENOS AIRES;LUN A VIE 10.00 A 24.00 / SAB 10.00 A 24.00
WEA;TALAS DEL TUYU;3295;SAN CLEMENTE DEL TUYU;BUENOS AIRES;LUN A SAB 07.00 A 24.00 / DOM 08.00 A 24.00
WEC;BIANCHI JUAN BAUTISTA;0;SANTA ISABEL;LA PAMPA;LUN A VIE 08.00 A 13.00
WEF;SAN MARTIN;500;COMALLO;RIO NEGRO;LUN A VIE 08.00 A 14.00
WEH;SAYHUEQUE CACIQUE;450;PILCANIYEU;RIO NEGRO;LUN A VIE 08.00 A 14.00
WEJ;SARMIENTO DOMINGO FAUSTINO;9;CINCO SALTOS;RIO NEGRO;LUN A VIE 07.30 A 22.00 / SAB 08.00 A 22.00 / DOM 09.00 A 22.00
WEN;RIO NEGRO;715;LAS GRUTAS;RIO NEGRO;LUN A VIE 10.00 A 15.00
WEO;MURGA GENERAL JULIAN;650;GUARDIA MITRE;RIO NEGRO;LUN A VIE 07.00 A 13.00
WEP;ITALIA;551;CARLOS SPEGAZZINI;BUENOS AIRES;LUN A VIE 09.00 A 17.00
WES;PEDRAZA MANUELA;2600;LANUS OESTE;BUENOS AIRES;LUN A SAB 09.00 A 13.00 / LUN A SAB 16.00 A 20.00
WEU;PARANA;147;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 08.00 A 15.30
WEY;BAHIA BLANCA;2286;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 08.30 A 17.30 / SAB 09.00 A 13.00
WFB;6;310;EL MARQUESADO;BUENOS AIRES;LUN A SAB 09.30 A 13.00 / LUN A SAB 17.00 A 20.00
WFC;NOETINGER ENRIQUE;0;LA ESCONDIDA;CHACO;LUN A VIE 08.00 A 12.00 / LUN A VIE 17.00 A 20.00
WFD;SAN MARTIN;1684;CONCEPCION DEL URUGUAY;ENTRE RIOS;LUN A VIE 09.00 A 18.00
WFF;WINTER GENERAL LORENZO;6702;FORMOSA;FORMOSA;LUN A VIE 09.00 A 19.00 / SAB 09.00 A 13.00
WFG;O HIGGINS GENERAL BERNARDO;687;YAPEYU;CORRIENTES;LUN A VIE 09.00 A 12.00 / LUN A VIE 16.00 A 18.00 / SAB 09.00 A 12.00
WFK;NORTE;425;MARGARITA BELEN;CHACO;LUN A SAB 08.00 A 13.00 / LUN A SAB 17.00 A 21.00 / DOM 09.00 A 13.30
WFL;FERNANDEZ BLANCO;0;MANUEL FLORENCIO MANTILLA;CORRIENTES;LUN A SAB 08.00 A 12.00 / LUN A SAB 16.00 A 20.00
WFN;25 DE MAYO;530;COLONIA LIEBIGS;CORRIENTES;LUN A VIE 07.00 A 13.00 / LUN A VIE 16.00 A 21.00 / SAB 08.00 A 12.00
WFO;LOPE DE VEGA;2930;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 07.00 A 19.00 / SAB 09.00 A 19.00
WFP;BERON DE ASTRADA;3633;SAN JUSTO;BUENOS AIRES;LUN A SAB 09.00 A 13.00 / LUN A SAB 17.00 A 20.00
VZJ;ARAOZ BERNABE;279;SAN MIGUEL DE TUCUMAN;TUCUMAN;LUN A VIE 08.00 A 17.00 / SAB 08.00 A 16.00
WFU;307;0;AMAICHA DEL VALLE;TUCUMAN;LUN A VIE 09.00 A 13.00 / LUN A VIE 16.00 A 20.00 / SAB A DOM 09.00 A 13.00
WFV;SAN MARTIN GENERAL JOSE DE;271;LULES;TUCUMAN;LUN A DOM 17.00 A 22.00 / LUN A DOM 09.00 A 15.00
WFW;CANTON DOCTOR ELISEO;84;LULES;TUCUMAN;LUN A VIE 08.30 A 12.00 / LUN A VIE 17.30 A 20.00 / SAB 09.00 A 12.00
WFX;307;0;TAFI DEL VALLE;TUCUMAN;LUN A DOM 10.00 A 13.00 / LUN A DOM 17.00 A 20.00
WFZ;SAN MARTIN;0;GOBERNADOR ECHAGUE;ENTRE RIOS;LUN A VIE 08.00 A 12.00
WGA;PERON EVA;709;GRANADERO BAIGORRIA;SANTA FE;LUN A VIE 09.00 A 13.00 / LUN A VIE 16.30 A 20.30 / SAB 09.30 A 13.00
WGD;VELEZ SARSFIELD DOCTOR DALMACIO;4945;MUNRO;BUENOS AIRES;LUN A VIE 08.30 A 17.30
WGF;ROSAS JUAN MANUEL DE;1836;INGENIERO BUDGE;BUENOS AIRES;LUN A VIE 09.00 A 13.00
WGG;RIO CUARTO;2438;BELLA VISTA;BUENOS AIRES;LUN A VIE 10.00 A 13.00 / LUN A VIE 14.00 A 17.00
WGH;AYACUCHO;1259;SAN JUAN;SAN JUAN;LUN A SAB 09.00 A 14.00
WGI;DASSA ANTONIO;515;UNION;SAN LUIS;LUN A VIE 08.00 A 14.00
WGJ;RIOBAMBA;1726;RIVADAVIA;SAN JUAN;LUN A VIE 08.30 A 15.00 / LUN A VIE 18.00 A 23.00 / SAB 19.00 A 21.30 / SAB 09.30 A 15.00
WGK;SAN MARTIN;402;SAN JOSE DE JACHAL;SAN JUAN;LUN A SAB 09.00 A 13.00 / LUN A SAB 17.00 A 20.00
WGL;PEREZ DE ZURITA JUAN;0;LONDRES;CATAMARCA;LUN A VIE 08.00 A 13.00
WGM;LAS DALIAS;0;EL RODEO;CATAMARCA;LUN A VIE 08.00 A 13.00
WGO;SAN JUAN;250;CHEPES;LA RIOJA;LUN A SAB 09.00 A 13.00 / LUN A SAB 17.30 A 22.00
WGQ;BROWN ALMIRANTE;1169;RIVADAVIA;SAN JUAN;LUN A VIE 09.00 A 14.00
WGR;LLANQUELEN CACIQUE;0;SAN ANDRES DE LAS SIERRAS;BUENOS AIRES;SAB A DOM 09.00 A 13.30 / SAB A DOM 16.30 A 21.30
WGT;BRANDSEN CORONEL;443;CORONEL SUAREZ;BUENOS AIRES;LUN A VIE 08.00 A 18.00 / SAB 08.00 A 12.00
WGU;ZELARRAYAN;548;BAHIA BLANCA;BUENOS AIRES;LUN A VIE 09.00 A 18.00
WGV;CONSTITUCION;1279;DEL VISO;BUENOS AIRES;LUN A VIE 10.00 A 18.00 / SAB 10.00 A 13.00
WGX;BILLINGHURST;529;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A DOM 09.00 A 19.00
WHA;PERETTE CARLOS H;638;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 09.00 A 19.00
WHB;SAN MARTIN GENERAL JOSE DE;1;BLAQUIER;BUENOS AIRES;LUN A VIE 07.00 A 13.00
WHD;HERNANDEZ JOSE;1;CALETA OLIVIA;SANTA CRUZ;LUN A VIE 09.30 A 12.00 / LUN A VIE 16.30 A 19.30 / SAB 09.30 A 12.00
WHE;LAFFITE BARTOLOME;0;VILLA TRAFUL;NEUQUEN;LUN A VIE 08.00 A 13.00
WHJ;ESPAÑA;420;FORMOSA;FORMOSA;LUN A VIE 08.30 A 12.30 / LUN A VIE 16.30 A 20.30 / SAB 09.00 A 13.00 / SAB 17.00 A 21.00
WHK;SARMIENTO;578;FORMOSA;FORMOSA;LUN A VIE 08.30 A 12.30 / LUN A VIE 16.30 A 20.30 / SAB 09.00 A 13.00 / SAB 17.00 A 21.00
WHL;LIBERTADOR GENERAL SAN MARTIN;1300;PUERTO VILELAS;CHACO;LUN A SAB 08.00 A 20.00
WHM;PIO XII;24;VILLA DEL ROSARIO;ENTRE RIOS;LUN A VIE 07.30 A 12.00 / LUN A VIE 15.30 A 20.00
WHO;ROSA JOSE MARIA;1651;SAN MIGUEL;BUENOS AIRES;LUN A VIE 10.00 A 17.00
WHP;MITRE GENERAL BARTOLOME;2078;CASTELAR;BUENOS AIRES;LUN A VIE 15.00 A 16.00 / LUN A VIE 09.30 A 14.00 / SAB 10.00 A 13.00
WHQ;URQUIJO DE SEXE FRANCISCA;206;VILLALONGA;BUENOS AIRES;LUN A SAB 09.00 A 12.00 / LUN A SAB 16.30 A 21.00 / DOM 17.00 A 20.30
WHR;MALVINAS ARGENTINAS;258;MIGUEL RIGLOS;LA PAMPA;LUN A SAB 08.30 A 13.00 / LUN A SAB 16.00 A 20.00
WHU;MARTINI EMBAJADOR;374;25 DE MAYO;LA PAMPA;LUN A VIE 09.00 A 13.00 / LUN A VIE 17.00 A 21.00
WHV;TUCUMAN;389;SANTA ROSA;LA PAMPA;LUN A VIE 09.00 A 13.00 / LUN A VIE 16.30 A 20.30 / SAB 09.00 A 14.00
WHW;YRIGOYEN PRESIDENTE HIPOLITO;6691;REMEDIOS DE ESCALADA;BUENOS AIRES;LUN A VIE 09.30 A 18.00 / SAB 09.30 A 13.00
WHY;INGENIEROS DOCTOR JOSE;1737;BECCAR;BUENOS AIRES;LUN A VIE 13.00 A 20.00 / SAB 10.00 A 20.00
WHZ;ALVEAR ANGEL TORCUATO DE;2238;DON TORCUATO;BUENOS AIRES;LUN A VIE 09.30 A 12.30 / LUN A VIE 15.30 A 19.00 / SAB 10.30 A 14.00
WIB;LIBERTAD;530;HAEDO;BUENOS AIRES;LUN A VIE 07.00 A 17.30
WIC;LARRALDE CRISOLOGO;637;MORON;BUENOS AIRES;LUN A VIE 09.00 A 18.00 / SAB 09.00 A 14.00
WIE;LIBERTADOR GENERAL SAN MARTIN;1827;CASEROS;BUENOS AIRES;LUN A VIE 10.00 A 18.00 / SAB 10.00 A 13.00
WIG;BIANCO JOSE;1495;EL PALOMAR;BUENOS AIRES;LUN A VIE 10.00 A 18.00
WIH;3 DE FEBRERO;1304;SAN FERNANDO;BUENOS AIRES;LUN A VIE 09.00 A 18.00
WIJ;NAZARRE;4421;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 10.00 A 18.00
WIO;BELGRANO MANUEL;220;VILLA BERTHET;CHACO;LUN A VIE 08.30 A 12.30 / LUN A VIE 17.00 A 20.00 / SAB 08.30 A 12.30
WIQ;ROCA PRESIDENTE GENERAL JULIO ARGENTINO;1697;RAFAELA;SANTA FE;LUN A SAB 09.00 A 13.00 / LUN A SAB 17.00 A 20.30
WIR;LAMBERTI PABLO;1758;GARIN;BUENOS AIRES;LUN A SAB 08.00 A 13.00 / LUN A SAB 16.00 A 20.00 / DOM 09.00 A 13.00
WIT;SAENZ PEÑA;2665;RANCHOS;BUENOS AIRES;LUN A SAB 08.00 A 13.00 / LUN A SAB 16.00 A 21.00
WIU;SARMIENTO;191;ALBERTI;BUENOS AIRES;LUN A DOM 08.00 A 22.00
WIV;520;0;MELCHOR ROMERO;BUENOS AIRES;LUN A VIE 16.30 A 20.00 / LUN A VIE 10.30 A 13.30
WIW;ITURBURU FRANCISCO;87;GENERAL ROJO;BUENOS AIRES;LUN A VIE 08.30 A 12.30 / LUN A VIE 16.30 A 19.30
WIX;YRIGOYEN HIPOLITO;0;ALEJANDRO KORN;BUENOS AIRES;LUN A SAB 08.00 A 18.00
WJE;CAÑADA DE JUAN RUIZ;190;CASTELAR;BUENOS AIRES;LUN A SAB 09.00 A 21.00
WJG;VELEZ SARSFIELD DOCTOR DALMACIO;325;CONCORDIA;ENTRE RIOS;MAR Y JUE 13.00 A 22.00 / LUNES 08.00 A 10.00 / LUNES 13.00 A 22.00 / MIERCOLES 08.00 A 10.00
WJH;CAMET FELIX U;3315;MAR DEL PLATA;BUENOS AIRES;LUN A SAB 09.00 A 17.00
WJJ;21;852;MIRAMAR;BUENOS AIRES;LUN A VIE 10.00 A 20.00 / SAB 11.00 A 20.00
WJL;510;705;QUEQUEN;BUENOS AIRES;LUN A SAB 17.00 A 20.30 / LUN A SAB 08.00 A 13.45
WJM;DE MENDOZA PEDRO;1061;MONTE HERMOSO;BUENOS AIRES;LUN A VIE 09.00 A 19.00
WJN;COLON;0;LA COLINA;BUENOS AIRES;LUN A VIE 08.00 A 12.00 / LUN A VIE 16.00 A 19.00
WJO;PERON PRESIDENTE JUAN DOMINGO;802;AZUL;BUENOS AIRES;LUN A VIE 09.00 A 21.00
WJQ;CHIOZZA;1768;SAN BERNARDO DEL TUYU;BUENOS AIRES;LUN A VIE 10.00 A 13.00 / LUN A VIE 16.30 A 20.00
WJR;ITALIA;525;SALLIQUELO;BUENOS AIRES;LUN A SAB 07.00 A 02.00
WJS;GONZAGA SAN LUIS;138;RAFAEL OBLIGADO;BUENOS AIRES;LUN A VIE 08.30 A 12.30 / LUN A VIE 16.30 A 20.00
WJT;DUNCKLER RODOLFO;638;VEDIA;BUENOS AIRES;LUN A VIE 08.00 A 12.00 / LUN A VIE 16.00 A 20.00
WJU;NEWBERY JORGE;267;DAIREAUX;BUENOS AIRES;LUN A VIE 08.30 A 20.00
WJV;CORDOBA;313;ATALIVA ROCA;LA PAMPA;LUN A VIE 07.30 A 13.30
WJY;MITRE;395;RANCUL;LA PAMPA;LUN A SAB 08.30 A 20.00
WKD;CAVOUR CAMILO;3280;LANUS OESTE;BUENOS AIRES;LUN A VIE 09.00 A 14.00 / LUN A VIE 16.00 A 20.00 / SAB 09.00 A 14.00 / SAB 16.00 A 20.00
WKI;FRIAS GENERAL EUSTAQUIO;189;LOMAS DE ZAMORA;BUENOS AIRES;LUN A VIE 08.00 A 18.00 / SAB 08.00 A 13.00
WKJ;CONCORDIA;1777;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 10.00 A 18.00
WKL;RIVADAVIA;930;ALDERETES;TUCUMAN;LUN A VIE 08.30 A 13.00 / LUN A VIE 17.30 A 21.00 / SAB 09.00 A 13.00 / SAB 17.30 A 21.00
WKM;25 DE MAYO;1051;ARROYITO;CORDOBA;LUN A SAB 08.30 A 12.30 / LUN A SAB 16.30 A 20.30
WKN;9;0;SAN SALVADOR DE JUJUY;JUJUY;LUN A SAB 09.00 A 13.00 / LUN A SAB 16.30 A 20.00
WKO;MORENO DOCTOR MARIANO;851;LA PARA;CORDOBA;LUN A VIE 08.00 A 20.00 / SAB 08.00 A 12.00
WKS;LIBERTAD;1007;SANTIAGO DEL ESTERO;SANTIAGO DEL ESTERO;LUN A VIE 09.00 A 13.00 / LUN A VIE 18.00 A 21.00 / SAB 09.00 A 13.00
WKU;SAN MARTIN;2200;SANTA MARIA DE PUNILLA;CORDOBA;LUN A VIE 08.00 A 22.00 / SAB 09.00 A 22.30 / DOM 17.00 A 21.00 / DOM 09.30 A 14.00
WKW;MARADONA DIEGO ARMANDO;2027;JOSE LEON SUAREZ;BUENOS AIRES;LUN A VIE 09.00 A 18.00 / SAB 10.00 A 13.00
WKX;SALTA;599;CIUDAD AUTONOMA BUENOS AIRES;CAPITAL FEDERAL;LUN A VIE 11.00 A 19.00
WKY;ALVEAR MARCELO TORCUATO DE;868;CORDOBA;CORDOBA;LUN A VIE 09.00 A 21.00
WKZ;9 DE JULIO;1015;CORDOBA;CORDOBA;LUN A VIE 07.30 A 19.00
WLA;ALTOLAGUIRRE;2432;HURLINGHAM;BUENOS AIRES;LUN A VIE 08.00 A 17.00 / SAB 09.00 A 13.00
WLB;133;859;SAN CARLOS;BUENOS AIRES;LUN A VIE 09.00 A 18.00
